college,department,number,course,description
CAS, Anthropology,Emphasis Programs in Anthropology,,Anthropology majors have the option of completing a special emphasis program to complement their majors. The emphasis is not a narrow specialization but reflects competence in the subfields of the discipline. Completion of a special emphasis program will be noted on student transcripts with the approval of the department chair.
CAS, Anthropology,1, Introduction to Biological Anthropology,"Using an evolutionary framework, we examine how past and current human variation is measured, our place in nature, human genetics, human and nonhuman primate biology and behavior, the primate and hominin fossil record, and the origin and meaning of human biological and behavioral variation. Students gain experience in biological anthropology methods, data analysis and interpretation, and the theoretical frameworks that guide our understanding of what it means to be human. Laboratory 15 hours. (4 units)"
CAS, Anthropology,2, Introduction to Archaeology,"How do archaeologists understand the past? This course examines the methods, theories, and analytical techniques that archaeologists use to study the past and interpret ancient cultures. Selective survey of human cultures over time in different regions of the world. Laboratory 15 hours. (4 units)"
CAS, Anthropology,3, Introduction Cultural Anthropology,"This course provides an introduction to the subject matter, research methods, and applications of cultural anthropology. Its purpose is to help students understand how different human groups think and live, how they cope with life’s demands and expectations, and how they make sense of the world. In order to gain additional experience with diverse cultural groups, students are required to participate in off-campus Arrupe partnerships. (4 units)"
CAS, Anthropology,4, Vanished Peoples and Lost Civilizations,"“Popular archaeology” is addressed by examining past societies, human migrations and cultural contacts, and ancient human behavior and technologies. Ideas and assumptions found in movies and other popular media will be evaluated in light of current archaeological data and theory. (4 units)"
CAS, Anthropology,5, Popular Culture and Bioanthropology,"From King Kong to Clan of the Cave Bear, students examine popular culture interpretations of biological anthropology. After reviewing the history of biological anthropology, we analyze popular avenues (film, cartoons, newspapers, fiction) through which the public has been informed about human variation, the human fossil record, primate behavior, and human genetics. (4 units)"
CAS, Anthropology,6," Screen Time: Culture, Film, and Media in the 21st Century","This course uses anthropological perspectives and methods to explore how popular media shapes, creates, and transforms our understanding of culture, identity, and social relationships in the 21st century. This course is not just about culture, difference, and identity, but also about how we learn about and intersect with cultural and identity formation processes through various forms of media. Throughout the course we will use feature-length films as starting points for thinking critically about culture, gender, class, race/racism, economics, ideology, family, kinship, and violence. We will also be critically discussing how film and media shape our perceptions and understandings of the complex, global, and highly socially mediated world in which we live. One of the core premises of this course, following Bird and Godwin (2006), is that we cannot simply assume that media “speaks for itself.” Building upon the work of cultural and media anthropologists, and the late Neil Postman, the primary goal of this course is to push students to take a more active, and anthropologically informed, approach to the highly mediated world in which we live. (4 units)"
CAS, Anthropology,7, Field Course in Archaeological Methods,"On-site archaeological field research with practical experience in the basic techniques of excavation and data analysis. Students will gain experience in mapping, stratigraphic excavation, and field processing of finds. Laboratory component will include community outreach, cataloging, and relevant special analyses. (4 units)"
CAS, Anthropology,11A, and 12A Cultures & Ideas I and II,"A two-course sequence focusing on a major theme in human experience and culture over a significant period of time. Courses emphasize either broad global interconnections or the construction of Western culture in its global context. Courses may address measuring humanity, peace and violence, social change in the Middle East, migration and transnationalism, and other topics. Successful completion of C&I I (ANTH 11A) is a prerequisite for C&I II (ANTH 12A). (4 units each quarter)"
CAS, Anthropology,50, World Geography,"This course explores world geography through examination of contemporary global problems including poverty and inequality, political conflict, environmental crises, and natural disasters. Special emphasis on economic development challenges in developing countries and on interconnections among diverse places and events. Also listed as ENVS 50. (4 units)"
CAS, Anthropology,110, Anthropological Theory,"This course provides a historical survey of the development of different areas of anthropological theory. By exploring original and secondary writings, students are able to understand how theoretical frameworks differ from each other and how anthropology has evolved as a discipline. Required for majors and minors in anthropology. Students should take this class no later than the winter quarter of their junior year. (5 units)"
CAS, Anthropology,111, Archaeological Methods ,"Introduction to the techniques of discovery and analysis that archaeologists have found useful in research. Special attention to sampling techniques in survey and excavation. Laboratory analysis will consider techniques for measuring parameters of past demography, diet, craft specialization, and exchange. (5 units)"
CAS, Anthropology,112, Ethnographic Methods,"This course provides a survey of ethnographic methods and techniques used in anthropological research. Students will develop critical thinking and practical skills related to research project design and implementation, ethical dilemmas and solutions in research contexts, and data analysis in support of ethnographic writing and practice.Prerequisites: ANTH 1, 2, 3, with grades of C- or better, or special permission of the department chair. Required for majors in Anthropology, who   should take this class no later than spring quarter of their junior year. (5 units)"
CAS, Anthropology,114, Senior Capstone,"An in-depth writing intensive senior seminar in anthropology. Topic will change annually. Required for majors in anthropology. Prerequisite: ANTH 112 with a grade of C- or better, or special permission of the department chair. Students should take this class during the winter quarter of their senior year. (5 units)"
CAS, Anthropology,130, Primate Behavioral Ecology,"This course focuses on the theoretical frameworks that guide primate behavioral studies, including in-depth empirical exploration of adaptation, comparative primate behavior, ecology, field studies, and classification. Critical evaluation of core concepts in primate behavioral ecology as well as data collection, presentation, and interpretation in primate field studies are reviewed. (5 units)"
CAS, Anthropology,132, Paleoanthropology,"How do we know what we think we know about human evolution? Students explore this question by reading primary literature, examining fossil and comparative data, and exploring current technology for interpreting hominin evolution. Class reviews evolutionary theory and the varying applications of paleoanthropological analysis to understanding past and present variation. (5 units)"
CAS, Anthropology,133, Human Nutrition and Culture,"Study of the biocultural interactions that shape dietary patterns and nutritional status of modern humans. Focus on the evolution of the human diet and nutritional requirements; the basic principles of human nutrition and nutritional assessment; and the social, technological, and political factors that influence the nutritional health of human societies today. (5 units)"
CAS, Anthropology,134," Health, Disease, and Culture","This course emphasizes the study of health and disease from biocultural and ecological perspectives; the influence of culture on the ways people explain and treat illness, stress, and healing; and the complexities of health care delivery in pluralistic societies. (5 units)"
CAS, Anthropology,135, Human Development and Sexuality,"Examination of evolutionary and biocultural aspects of human growth, development, and sexuality throughout the life cycle. Special emphasis on how various cultural, economic, and political factors influence norms of sexual behavior in different societies. Also listed as PHSC 135. (5 units)"
CAS, Anthropology,136, Forensic Anthropology,"Using physical remains to learn what we can about the age, gender, and other characteristics of deceased people, including their nutrition, exposure to diseases, experience with serious accidents, and causes of death. (5 units)"
CAS, Anthropology,137, Evolutionary Medicine,This course examines how evolution has impacted human health and addresses questions such as: How are biology and human health related? How can an evolutionary perspective help us treat diseases? Topics from pregnancy to cancer and diet are examined through the lens of what we know about both human evolution and evolutionary processes. (5 units)
CAS, Anthropology,138, Biology of Poverty,"This course will use a biocultural perspective to study the relationship between poverty and human biology. Using scientific articles, ethnographic texts, pieces from journalistic outlets, and popular science writings, we will learn how cultural understandings of the causes and effects of poverty have shifted over time. We will also examine how individuals navigate the challenges of living in poverty, sometimes exerting their own agency despite having minimal access to resources. Over the course of the quarter, we will turn a critical eye towards discussions of the “poverty problem” or “culture of poverty”. We will develop a more nuanced understanding of the conditions that create and reinforce these inequities, and how they give rise to biological feedback mechanisms that influence individual health outcomes.  (5 units)"
